# ECO Opening Classification - SAN Format
# Columns: ECO Code, Opening Name, SAN Moves (space-separated)
#
# This file is used for opening recognition by longest-prefix matching.
# The more specific (longer) openings should appear after general ones.

A20	English Opening	c4
A20	English Opening	c4 e5
A20	English Opening	c4 e5 Nc3
A20	English Opening: King's Indian	c4 g6
A20	English Opening: Sicilian	c4 c5

B20	Sicilian Defence	c5
B20	Sicilian: Closed	c5 Nc3
B20	Sicilian: Open	c5 d4
B20	Sicilian: Open	c5 d4 cxd4
B20	Sicilian: Open	c5 d4 cxd4 Nf3

C00	French Defence	e6
C00	French: Closed	e6 e4
C00	French: Closed	e6 e4 d4
C00	French: Closed	e6 e4 d4 d5
C00	French: Petit Variation	e6 e4 e5

C10	French: Paulsen Variation	e6 e4 d4 b6
C10	French: Rubinstein Variation	e6 e4 d4 dxe4
C10	French: Schlechter Variation	e6 e4 d4 Be7

C20	Italian Game	e4 e5 Nf3 Nc6 Bc4
C20	King's Pawn Opening	e4
C20	King's Pawn: Open Game	e4 e5
C20	King's Pawn: Open Game	e4 e5 Nc3
C20	King's Pawn: Open Game	e4 e5 Nc3 Nc6
C20	Spanish Opening	e4 e5 Nf3
C20	Spanish: Ruy Lopez	e4 e5 Nf3 Nc6 Bb5

C20	Two Knights Defence	e4 e5 Nf3 Nc6 Bc4 Nf6
C20	Giuoco Piano	e4 e5 Nf3 Nc6 Bc4 Bc5

C30	Evan's Gambit	e4 e5 Nf3 Nc6 Bc4 Bc5 b4
C30	King's Gambit Accepted	e4 e5 f4
C30	King's Gambit Accepted	e4 e5 f4 exf4
C30	King's Gambit Declined	e4 e5 f4 d5
C30	King's Gambit Declined	e4 e5 f4 Bc5

C40	Scandinavian Defence	e4 d5
C40	Scandinavian: Central Variation	e4 d5 exd5 Qxd5
C40	Scandinavian: 3.Nc3	e4 d5 exd5 Qxd5 Nc3

C41	Philidor's Defence	e4 e5 Nf3 d6
C42	Russian Defence	e4 e5 Nf3 Nf6

C50	Italian Game: Giuoco Pianissimo	e4 e5 Nf3 Nc6 Bc4 Bc5 d3
C50	Italian Game: Two Knights	e4 e5 Nf3 Nc6 Bc4 Nf6
C50	Italian Game: Two Knights Attack	e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5

C60	Ruy Lopez	e4 e5 Nf3 Nc6 Bb5
C60	Ruy Lopez: Open	e4 e5 Nf3 Nc6 Bb5 a6
C60	Ruy Lopez: Closed	e4 e5 Nf3 Nc6 Bb5 Bc5
C60	Ruy Lopez Defence	e4 e5 Nf3 Nc6 Bb5 f6

C62	Ruy Lopez: Old Indian	e4 e5 Nf3 Nc6 Bb5 d6
C62	Ruy Lopez: Three Knights	e4 e5 Nf3 Nc6 Bb5 Be7

